Fecha,Tsu,Vol,Location Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
2012-05-12,0.0,0.0,TAJIKISTAN,38.612,70.354,10.0,5.7,0.0,1.0,0.0,11.6,7.6,8.0
2012-05-14,0.0,0.0,CHILE:  ARICA; PERU:  TACNA,-17.678,-69.591,10.0,6.3,0.0,0.0,0.0,13.6,19.2,0.0
2012-05-19,0.0,0.0,BRAZIL:  MONTES CLAROS,-16.764,-43.999,10.0,4.1,0.0,0.0,0.0,25.2,18.9,0.0
2012-05-20,0.0,0.0,ITALY:  EMILIA ROMAGNA:  MIRANDOLA,44.89,11.23,6.0,6.1,0.0,7.0,50.0,20.5,15.6,14.2
2012-05-20,0.0,0.0,ITALY:  SANT'AGOSTINO,44.831,11.49,5.0,5.1,0.0,0.0,0.0,21.1,15.2,12.7
2012-05-22,0.0,0.0,BULGARIA: PERNIK,42.645,22.968,10.0,5.6,7.0,0.0,0.0,19.0,18.1,7.1
2012-05-29,0.0,0.0,"ITALY:  EMILIA ROMAGNA:  MEDOLLA, MIRANDOLA, CAVEZZO",44.851,11.086,10.0,5.9,0.0,17.0,350.0,28.7,9.9,0.0
2012-06-04,0.0,0.0,INDONESIA:  JAVA,-7.692,106.371,50.0,5.8,0.0,0.0,2.0,0.0,0.0,0.0
2012-06-10,0.0,0.0,TURKEY:  FETHIYE; GREECE:  RHODES,36.42,28.88,35.0,6.1,0.0,0.0,6.0,32.6,12.3,0.0
2012-06-11,0.0,0.0,AFGHANISTAN:  HINDU KUSH,36.023,69.351,16.0,5.8,0.0,75.0,13.0,18.7,8.9,1.4
2012-06-14,0.0,0.0,TURKEY:  SIRNAK,37.294,42.325,5.0,5.3,0.0,0.0,23.0,40.2,9.8,0.0
2012-06-24,0.0,0.0,CHINA:  YUNNAN AND SICHUAN PROVINCES,27.767,100.781,10.0,5.5,0.0,4.0,394.0,17.2,5.5,12.8
2012-06-29,0.0,0.0,CHINA:  XINJIANG PROVINCE,43.433,84.7,18.0,6.3,0.0,0.0,52.0,13.8,7.7,3.3
2012-07-20,0.0,0.0,CHINA:  JIANGSU PROVINCE,32.978,119.593,10.0,4.9,0.0,1.0,2.0,33.4,12.4,0.0
2012-07-25,0.0,0.0,INDONESIA: BANDA ACEH,2.707,96.045,22.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0
2012-07-25,0.0,0.0,SOLOMON ISLANDS: GUADALCANAL,-9.694,159.727,20.0,6.4,0.0,0.0,0.0,30.1,8.9,6.8
2012-08-11,0.0,0.0,"IRAN:  AHAR, HARIS, VARZAGAN",38.329,46.826,11.0,6.5,0.0,306.0,3000.0,27.6,20.4,0.0
2012-08-14,0.0,0.0,RUSSIA:  SAKHALIN ISLAND,49.8,145.064,583.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-18,0.0,0.0,"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",-1.315,120.096,10.0,6.3,0.0,6.0,43.0,29.6,7.4,23.0
2012-08-27,5462.0,0.0,NICARAGUA:  OFF THE COAST,12.139,-88.59,28.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-31,5463.0,0.0,"PHILIPPINES:  CAGAYAN DE ORO, TACLOBAN",10.811,126.638,28.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0
2012-09-05,5464.0,0.0,COSTA RICA:  NICOYA,10.085,-85.315,35.0,7.6,0.0,2.0,20.0,29.4,6.7,7.0
2012-09-07,0.0,0.0,CHINA: YUNNAN PROVINCE:  ZHAOTONG:  YILIANG,27.575,103.983,10.0,5.6,0.0,81.0,821.0,30.2,9.8,0.2
2012-10-18,0.0,0.0,"INDIA:  DEURALA, JAISINGHNAGAR, KOTMA, SARAI, UMARIA",23.739,81.314,10.0,5.0,0.0,0.0,0.0,33.0,9.3,0.0
2012-10-28,5467.0,0.0,CANADA:  QUEEN CHARLOTTE ISLANDS,52.788,-132.101,14.0,7.7,0.0,1.0,0.0,8.0,15.5,1.6
2012-11-07,5468.0,0.0,"GUATEMALA:  SAN MARCOS, SAN CRISTOBAL COCHU",13.988,-91.895,24.0,7.3,0.0,48.0,155.0,31.6,9.0,1.0
2012-11-11,0.0,0.0,MYANMAR (BURMA):  SHWEBO,23.005,95.885,14.0,6.8,0.0,26.0,230.0,30.4,7.8,0.0
2012-11-26,0.0,0.0,CHINA:  XINJIANG PROVINCE:  RUOQIANG,40.411,90.355,10.0,5.1,0.0,0.0,0.0,2.9,25.8,0.0
2012-12-05,0.0,0.0,IRAN:  KHORASAN PROVINCE,33.506,59.571,14.0,5.7,0.0,8.0,12.0,14.0,21.5,0.0
2012-12-07,5469.0,0.0,JAPAN:  HONSHU:  MIYAGI PREFECTURE,37.89,143.949,31.0,7.2,0.0,0.0,11.0,0.0,0.0,0.0
2013-01-05,5472.0,0.0,ALASKA:  SOUTHEASTERN,55.393,-134.652,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
